label,sharpe,cagr,mdd,worst_day,turnover,y2022,y2023,y2024,y2025,y2026
R5 w8=2.0 vt_win20,1.7651026642179013,0.24770788678298739,-0.13476684223601754,-0.0453799364842874,325.69722865030514,1.980859868734842,1.3131910392587867,1.3427450236831504,2.3629955050245175,1.7915731450450492
R5 w8=2.0 vt_win60,1.8916951790738599,0.26341122704528885,-0.11587488935005785,-0.03294642670578729,308.0612308237928,2.310957226890208,1.3690135633184668,1.6643081296263644,2.3394761334513814,1.7255754626118716
R5 w8=2.0 maker50,1.5738538770683166,0.21373349767936412,-0.12379809691802557,-0.034112558348859956,316.4173513704854,1.9697269231000785,0.7673577104807447,1.1797256304918333,2.3017714935773954,1.6651653342151658
R5 w8=2.0 taker,0.8736401365784753,0.10926050282277489,-0.16523197689575142,-0.03473939492262146,315.12733181771347,1.017480166288516,-0.20936121350524003,0.4630656613515092,1.9136713041837352,1.3459978367131715
R5 w8=2.0 start2023,1.7735661445990856,0.24154862871757654,-0.11367608510464,-0.02552622752688094,283.7238429182578,,1.3542228223439259,1.372497885569057,2.507771476295573,1.8480397381349138
R5 w8=2.5 base,1.8913118336717076,0.2636272245039055,-0.107898601152571,-0.03630337073373602,345.7503370893281,2.595673795937237,1.3535439199821988,1.3166274022073263,2.4093371069532754,1.6443781968049214
R5 w8=2.5 band0.2,1.8771197946586624,0.26282619950119046,-0.11449897755237104,-0.036450944250187134,367.0275895324763,2.4460392076600517,1.2919965728154907,1.487496641397612,2.4074305505128333,1.6164963744948155
R5 w8=2.5 band0.4,1.955045959812695,0.2735201493392725,-0.12096288701060054,-0.03603584379952418,326.43464992987487,2.406616801295381,1.6625375205613795,1.4544028096181647,2.507622266017331,1.567534684054702
R5 w8=2.5 age120,1.9968920707877844,0.2825600998675042,-0.11359402992810586,-0.036619660296069334,342.1547637528332,2.9283009681914263,1.1687240165798445,1.425754596395102,2.4780106357719274,1.890151966689457
R5 w8=2.5 age240,1.9368232725942067,0.26927004697039103,-0.12188377201469625,-0.03570805677819999,349.19690031518303,2.5142218943581085,1.3886596536876514,1.4806649229361266,2.5003105642365933,1.6870099325621621
R5 w8=2.5 q8=0.25,1.9973885485074314,0.2812945812076453,-0.10819723181403051,-0.03950891089313069,350.2814492275425,2.7895059912434994,1.7040080213638045,1.3748747067337028,2.4792140421463573,1.3725724900058531
R5 w8=2.5 q8=0.35,1.8548093270616637,0.25645785772359764,-0.11425915863820646,-0.03403550046574033,342.9093062585021,2.554920704812534,0.9987455827203766,1.507610570210948,2.429905733417561,1.7194281600677164
R5 w8=2.5 EQ100k,1.8565932325811045,0.2575467352635967,-0.11550058935511509,-0.03618549003876237,345.6380194468212,2.4673657571367085,1.3313757624017208,1.2912916570216744,2.4415148003163716,1.6233411834504257
R5 w8=2.5 min_trade5,1.8708157305565989,0.259835760400716,-0.11368565387809215,-0.03619509214331429,345.6469212757438,2.561342883891699,1.3382610490337306,1.2625673818326273,2.424584986621107,1.6351940754339565
R5 w8=2.5 vt_smooth.5,1.9023082545682553,0.26504337841480363,-0.11507305652474153,-0.0365361951016141,335.9207608330916,2.5286969057996798,1.4987179804257236,1.252083483260803,2.490398201913388,1.5638853030477065
R5 w8=2.5 vt_win20,1.8981913018988412,0.26728755556305916,-0.11233947264973909,-0.03924401932362642,355.55770185687106,2.321775842298115,1.584997514177608,1.3695233525892951,2.352276824125749,1.7574684075497717
R5 w8=2.5 vt_win60,1.948073397752912,0.27234655359716586,-0.11179449652291984,-0.03512988762622027,337.44055010611316,2.706741073257753,1.3585984357926375,1.5258669608708495,2.34255751898699,1.6981870825838024
R5 w8=2.5 maker50,1.633350987841349,0.22214996571209666,-0.11302493661839397,-0.03696190765455121,345.81644593737764,2.2474626500391497,0.9230766844441534,1.0810519520291124,2.2727769640161015,1.5817643106679156
R5 w8=2.5 taker,0.8260412076756918,0.10233196358170593,-0.1995220624225209,-0.037292604416305886,344.9772887878032,1.2212714308431778,-0.22295775869291912,0.15131111232234165,1.8139676465074863,1.2769834187558249
R5 w8=2.5 start2023,1.7308904146521786,0.23430052084510167,-0.10685770525338423,-0.027533338114608785,314.7223650268933,,1.3903513375936243,1.2539115118598085,2.5315773842964844,1.677864743807776
REF w8=2.5 base,1.7272123859269333,0.2419653459348048,-0.16375509395734644,-0.05285156980556127,305.2181221185964,2.1258115016420613,1.2468995632061608,1.3791164879716056,2.2012297313992972,1.5668067072998955
REF w8=2.5 band0.2,1.7268434561940393,0.24309426911295873,-0.16552412997900234,-0.05307239385526952,324.1315673929,2.1378915150652187,1.1772671713949199,1.2924494854394855,2.2515841097951146,1.7007976708476662
REF w8=2.5 band0.4,1.86867637781535,0.26482751333213517,-0.15199708139207313,-0.05517435880722643,289.9614274865436,2.1966146662244026,1.3251851163674206,1.485499021453025,2.3491970838015104,1.988598014446155
REF w8=2.5 EQ100k,1.7385260141281653,0.24416447616668968,-0.16368310733725944,-0.052777585878520106,305.71491965101904,2.106762178621936,1.2584620977073104,1.4266765042991336,2.1988968861093845,1.6047738458651395
REF w8=2.5 min_trade5,1.736170683605045,0.24387324342261096,-0.1656155509541759,-0.052219675557418244,306.09490835602406,2.1086713640192203,1.2228541650012952,1.4479594336311132,2.2128442236954875,1.5863129469318331
REF w8=2.5 vt_smooth.5,1.7711813143602044,0.25103971496424093,-0.1605072597866264,-0.05292745865989523,298.1732611664152,2.1877984819157565,1.259670997141541,1.3837130958562094,2.1640392801680717,1.8180201464744714
REF w8=2.5 vt_win20,1.7341179152425596,0.25043425072656733,-0.21014377115305105,-0.07222170066444067,314.725002487367,1.9339226930374516,1.2826474581901433,1.4873501168754315,2.114201156588859,1.8909676513725495
REF w8=2.5 vt_win60,1.7351575315631886,0.2466015123273153,-0.18441851912910878,-0.07146807926084364,294.58347610194477,1.92006328369681,1.1394716575073847,1.5038921634427969,2.240532300371181,1.9920643812717596
REF w8=2.5 maker50,1.486129320766262,0.20375259416759328,-0.17193001666418672,-0.05101318498711804,304.6528552968344,1.841577678890575,0.8940708967395465,1.1156802684080345,2.0961361043798448,1.4000720718660622
REF w8=2.5 taker,0.7958579844166442,0.09992188253823531,-0.2049981353805116,-0.05200486374123292,303.8001480691555,0.997459506815268,-0.09422893253047868,0.4085985921555284,1.6954609309872997,1.0291147627718786
REF w8=2.5 start2023,1.6954625389746594,0.22556347264259746,-0.11720869376731369,-0.026775895934236238,272.98320801543065,,1.4328747064729797,1.4132032359408286,2.2713014946132173,1.5931385741800033
DAILY base,1.2026042322109134,0.1577299166775301,-0.16657224650003088,-0.03127685320713225,106.59315695972242,0.4924762381472399,0.4096697358480788,1.303955220950847,1.764043001936844,2.6010339713246546
DAILY band0.2,1.2900838715835936,0.17082127886716925,-0.15873684497198226,-0.03020500185072661,110.00687572036998,0.8789809739920379,0.3820547450321803,1.3298303529965718,1.8779272212744573,2.452413748435962
DAILY band0.4,1.1927686751207878,0.1570072181958888,-0.15513183487390636,-0.04193984963188535,101.74575775454089,0.7405666298529859,0.30872868325752667,1.4454326692660657,1.518949138361729,2.5220815962922547
DAILY EQ100k,1.2169681049222532,0.16004058778031482,-0.16277895410162613,-0.03176000598503048,106.4583509145607,0.5810415068706406,0.40483168890433296,1.4597558987131045,1.734015190990193,2.3843749178910523
DAILY min_trade5,1.2211997591784831,0.1606404547721756,-0.16256763671990615,-0.03146026691413617,106.46336647358761,0.5805669562188471,0.39034597546500677,1.4344704745261636,1.7622434514138454,2.432099138399177
DAILY vt_smooth.5,1.2390746782802218,0.16396216332687663,-0.1612349990752444,-0.030598368801749487,106.3003494345881,0.6276941760344954,0.4180061896207523,1.5339255543214676,1.654928167956116,2.477614776212025
DAILY vt_win20,1.1914666447895834,0.161958194061381,-0.20234330323173322,-0.058382849126118797,110.03032894120858,0.47146713775133336,0.6597273306048888,1.4584876245459475,1.4223094733412687,2.5887197083370577
DAILY vt_win60,1.1509064485084222,0.14947789488113106,-0.16368583312039486,-0.03744477262120449,102.17278904924736,0.5563306577924916,0.2920981807867311,1.493897503733046,1.572632135783132,2.312983985320517
DAILY maker50,1.1203338099558282,0.1455953856778487,-0.1705040751318695,-0.03092603443764408,106.42885782284162,0.3797473400430687,0.23875788132421308,1.2744245039724569,1.7699869721333035,2.481452460132528
DAILY taker,0.8682249398510606,0.1089239651552325,-0.1828518020184502,-0.03191762814711219,105.98157695106205,0.09699451059237083,-0.1060344062352546,1.0140473759594018,1.6969013244025175,2.1371709461627204
DAILY start2023,1.4800063955068137,0.19691168709060447,-0.11922601163935775,-0.030937094106538665,94.69980611362979,,0.5615983916266637,1.3089536859577913,1.8466983277727054,2.6118362981185492
