label,sharpe,cagr,mdd,dvol,turnover,lev_mean,lev_p5,lev_p95,y2022,y2023,y2024,y2025,y2026
REF smooth0.4 w8=2.0,1.79255483004587,0.2553574548549722,-0.1808901870118228,0.006887649582605229,328.101300439337,0.992402929046914,0.3061958724404249,2.530536579020679,1.9805651091994325,1.1211917615152007,1.5166151453619845,2.4527073282019813,1.9269324107965309
REF smooth0.4 w8=2.5,1.8348502770124169,0.26223309327949273,-0.17133646586550233,0.006884446149885,358.3172159711543,0.9894736982438744,0.30455840588376554,2.492722072790421,2.3358260254096317,1.2581580429396477,1.396005182488684,2.265888818810698,1.8350044404061576
REF smooth0.5 w8=1.5,1.5617947167503843,0.2168224547848112,-0.20102706658631841,0.0068584802141417,253.548954937453,1.0587758851611095,0.31101929268154604,2.9359097809693586,1.4996674773765155,0.6812297452070137,1.5448075673212736,2.35896079550215,1.887713683793103
REF smooth0.5 w8=2.0,1.642841472603042,0.22852898426567414,-0.18997354976727432,0.006822091517890746,281.43590049145297,1.0225980559189476,0.3120173466714292,2.6963958815416995,1.8403257534947322,1.0328912744830498,1.3364066236555432,2.3059326453453375,1.7045914465685654
REF smooth0.5 w8=2.5,1.7272123859269333,0.2419653459348048,-0.16375509395734644,0.006817980418263836,305.2181221185964,1.011360114943051,0.31002780878255376,2.577041083103447,2.1258115016420613,1.2468995632061608,1.3791164879716056,2.2012297313992972,1.5668067072998955
REF smooth0.6 w8=1.5,1.4538051201316469,0.19683527343228957,-0.18165952766733084,0.006763345233052074,209.95899230675525,1.037892980198294,0.31315030671962124,2.8539054530213375,1.4488371736628531,0.49877303717030735,1.451841417327735,2.14703355066637,1.92904972243469
REF smooth0.6 w8=2.0,1.5770698785987332,0.21608797614601816,-0.16899783575352256,0.006764015926451737,232.9899867330937,1.042307396464941,0.31718188353056165,2.8649282735569153,1.8310473497758368,0.6724659727101434,1.4823389743306226,2.1242864108775352,1.8884176855426196
REF smooth0.6 w8=2.5,1.6864847045477405,0.23434109851982865,-0.16283472857012926,0.006789255612304794,254.02614164273012,1.0598501356078724,0.3158788342668231,2.8782578650432726,2.0814793866303467,1.0884810440055526,1.4540889555759116,1.990741917811995,1.8542356292531874
R5 smooth0.4 w8=1.5,1.6652038949348802,0.22809814901377723,-0.13549486684176637,0.006710139229052677,326.4638292888421,1.0616087896348851,0.3369774142361397,3.0,1.981218518097013,0.7573781615227713,1.4710382948782392,2.459131368483574,1.6350375815873326
R5 smooth0.4 w8=2.0,1.7583140521223695,0.24227389216490214,-0.12353222135612951,0.006695164269190889,367.09723625520223,1.061783092973398,0.34585293159167413,2.9039456995335335,2.1438326403800727,1.1984326017471976,1.1905582255948082,2.493717147035119,1.6840291658298119
R5 smooth0.4 w8=2.5,1.828421631203901,0.25362293267335567,-0.12146326223128201,0.006698940748282913,401.54081066817514,1.0718430761510993,0.35638394903625975,2.8667433387896892,2.355105478776636,1.4484950640841032,1.1861682400228362,2.3867105037020475,1.6205069491350568
R5 smooth0.5 w8=1.5,1.7041109238727696,0.23369695132101875,-0.13411842702083943,0.006695447849769789,281.7584101291702,1.0744190280584602,0.33685487636386646,3.0,1.9778582763408241,0.8076479106587523,1.4875493161758702,2.4084475230358424,1.9029935935361086
R5 smooth0.5 w8=2.0,1.8427111705987662,0.25624004458883,-0.11479073569252785,0.00670666026086728,316.56513789090724,1.0754545962571735,0.35074213889306266,2.9686427717846526,2.33391233048514,1.1775946603475844,1.4122935553986509,2.4516456823399877,1.7961656408715396
R5 smooth0.5 w8=2.5,1.8913118336717076,0.2636272245039055,-0.107898601152571,0.006695757985231649,345.7503370893281,1.0882020868887519,0.35617354970317355,2.981974565302304,2.595673795937237,1.3535439199821988,1.3166274022073263,2.4093371069532754,1.6443781968049214
R5 smooth0.6 w8=1.5,1.7796518544719941,0.24494142878521252,-0.13420081199818046,0.006676493740424771,237.02939358093403,1.0954336200690546,0.34002258339618485,3.0,1.9662954292519983,1.012642794703656,1.5990354183536155,2.3232628843130647,2.1190165095616234
R5 smooth0.6 w8=2.0,1.7830871421523962,0.24654586322989624,-0.12667411824876762,0.00670335127688233,262.16715545343567,1.1012373311603232,0.3523312272527895,3.0,1.9173891032123673,1.0797421450790665,1.6151856618911855,2.416154018509482,1.9380518315142574
R5 smooth0.6 w8=2.5,1.9117800311458777,0.26644721160955886,-0.12369395027138452,0.00668425157230908,286.51809049114786,1.1141541393530907,0.3661309330722688,3.0,2.171538825422071,1.3452876076458629,1.713459351742146,2.4673649993371676,1.8138679026797044
R5 w8=2 base,1.8427111705987662,0.25624004458883,-0.11479073569252785,0.00670666026086728,316.56513789090724,1.0754545962571735,0.35074213889306266,2.9686427717846526,2.33391233048514,1.1775946603475844,1.4122935553986509,2.4516456823399877,1.7961656408715396
R5 w8=2 band0.2,1.8156404416137992,0.252238983266623,-0.11775529480201585,0.00671535812196906,337.15240555521257,1.0559955950612285,0.3446730291042882,3.0,2.359848510483755,1.1093693364150845,1.477550935622653,2.4148367981926873,1.6138386189752405
