label,sharpe,cagr,dvol,mdd,worst,turnover,cost,fund_income,price_alpha,gross_sharpe_price,gross_sharpe_incl_fund
funding carry 72h,-0.02,-0.038,0.013500000000000002,-0.42100000000000004,-0.128,198.0,0.20800000000000002,0.439,-0.26899999999999996,-1.0429706309390183,0.6591264210395286
funding carry 168h,-0.01,-0.035,0.0134,-0.485,-0.128,148.0,0.156,0.431,-0.30999999999999994,-1.2109060895743748,0.4726439898016111
funding carry 336h,0.3,0.045,0.013300000000000001,-0.44,-0.126,126.0,0.133,0.41700000000000004,-0.23900000000000005,-0.9405888533763992,0.7005222422635942
low vol 720h,-0.58,-0.201,0.0159,-0.768,-0.132,77.0,0.081,-0.2,0.08,0.2633579484730635,-0.3950369227095953
volume shock 24h/30d,-1.467052069342334,-0.3513013850576769,0.0140973414546365,-0.9223647974167958,-0.1377132692360387,254.5391779017684,0.2672661367968564,-0.2001622111065318,0.1161269628457113,0.4311708743580087,-0.31201669777285873
mom 720h skip24 EW reb 168h,0.6032125735703874,0.1354218250173957,0.0141739245349464,-0.2987556367051751,-0.0995672259795151,41.57132326072998,0.0436498894237663,0.0994718460238439,0.07959986841731809,0.2939515817368154,0.6612876974662267
funding carry 72h reb 8h,-0.6866841540686628,-0.1888865761372506,0.013429418873394,-0.7271481673030635,-0.0948757891110003,304.9170055354681,0.32016285581224,0.4970832752141894,-0.36580699553919993,-1.4257663292892608,0.5116613451283848
funding carry 72h rank-weights,0.1064627093145582,-0.010405839903403,0.0149902061167148,-0.4837395735567408,-0.123803769543165,288.1178091243426,0.3025236995805604,0.4745552352684629,-0.18243737559130546,-0.6370298447903725,1.0200091631854404
funding carry 168h top30%,0.0557713607954269,-0.0246721698073654,0.0149949943913075,-0.4940843011031697,-0.1253488516685486,198.7522453730536,0.2086898576417063,0.4608804802099551,-0.2768627923756142,-0.9664332311356588,0.6423427543798738
funding carry 168h top10%,-0.033753473669701,-0.0292005399337705,0.0110775199459915,-0.3753675592376639,-0.1206621594568758,84.51209121342266,0.0887376957740936,0.3449962513686737,-0.2854590955283506,-1.348822843461197,0.28131902990690116
funding carry 168h invvol,-0.029119500415899,-0.0365965574999027,0.0128348824897408,-0.4721956576561142,-0.1276840642872264,146.9600654422538,0.1543080687143661,0.4131253544333817,-0.29541384321891834,-1.204737735064525,0.48004351409640855
funding carry 720h,0.286855619433756,0.0413949964533826,0.0130716198553827,-0.4010843543564081,-0.1216516730585104,114.32762981477704,0.12004401130551559,0.3956059433158241,-0.2341669355569259,-0.9376693730858767,0.6464465738378873
funding carry 168h reb 168h,0.0563345268321261,-0.0169259795071691,0.0128395784784822,-0.5883782588737914,-0.1960173044023244,49.02052642129361,0.051471552742358095,0.2649548825600475,-0.23040930932485854,-0.9392967587700434,0.14083000840871554
funding carry 168h uni top50,0.310386317544825,0.0429193359783977,0.010385979408704,-0.2649003741343907,-0.088186012352712,89.33004594596004,0.093796548243258,0.29950344934734,-0.16278756512568432,-0.8204031852363165,0.6890093036359881
funding carry 168h uni top150 5M,0.0975217956691315,-0.0134397134931892,0.0150678702928552,-0.4630594559600466,-0.1393346782946182,180.58027162501415,0.1896092852062647,0.5169286721275774,-0.3407591004145019,-1.1837204696528718,0.6119734672179932
reversal 72h reb 8h,-2.016874945178708,-0.3922205810775179,0.0121871940479338,-0.934512892914704,-0.1247123504937595,389.3856202042785,0.4088549012144921,-0.1010900316037116,0.1177243517406858,0.5056105755774583,0.07144221271501418
reversal 168h invvol,-1.2952752012713151,-0.332076154078369,0.0146694898625335,-0.8986057962974615,-0.1425376351669476,203.35913048411817,0.2135270870083239,-0.1433674403290288,0.0248183732589837,0.08855475142802123,-0.4229964251428762
