,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
ICNTUSDT,8.710839083444274,-3.633815430815828,1.6586192676055436,2475.551145679915,348.0,7.2155604871336685,1.4952785963106026,3.4184043850229022,3546371.5556640625
OPENUSDT,3.6669436279398435,0.009312107550623885,0.19625277897334423,292.9145954826033,72.0,3.6669436279398435,0.0,3.480002956517123,5383630.775390625
WETUSDT,4.533195087757313,-0.08087988998733427,0.903785256851015,1348.933219180619,48.0,0.0,4.533195087757313,3.5485299409189635,2526084.609375
BABAUSDT,4.0598717965135185,0.0,0.3389569220434301,505.90585379616425,36.0,4.0598717965135185,0.0,3.7209148744700884,5319093.125732422
BNTUSDT,4.036541313350413,0.16312461565902045,0.359089157614345,535.9539665885746,84.0,0.0,4.036541313350413,3.8405767713950882,2467885.666015625
XAUUSDT,4.964032993691262,1.72262696377107,2.7838972861284623,4155.070576311134,2028.0,-1.4128003945096363,6.376833388200904,3.90276267133387,924776485.0
SLPUSDT,4.883177586328957,0.03455410542770357,0.2050484412778576,306.0424496684442,48.0,0.0,4.883177586328957,4.712683250478803,1922391.935546875
AXLUSDT,-4.9796341999909695,11.018351238182722,1.1436749359043514,1706.977516275152,648.0,2.3035679930193975,-7.283202193010339,4.895042102287402,8148011.0859375
COSUSDT,3.3779257697746368,1.832226320400934,0.28054440178245466,418.722987735007,84.0,3.3779257697746368,0.0,4.929607688393117,1982471.099609375
TREEUSDT,5.341352467994951,0.03424697070880968,0.30550221530861643,455.97345568450214,12.0,0.0,5.341352467994951,5.070097223395145,3150701.5712890625
CCUSDT,6.272998502471029,-0.1489728697376608,1.047276961321793,1563.0999422713328,216.0,0.37046198772021,5.902536514750818,5.076748671411575,7208576.80078125
TROYUSDT,20.611189492891175,-14.758045355148642,0.7254530557274322,1082.765754817063,288.0,0.7209975835207196,19.890191909370447,5.1276910820151,33093208.0
