,F,F1,F0,D
2022-02-03 00:00:00+00:00,0.007639578728304786,0.007666094916296995,0.0023651532889970017,0.003528872396381333
2022-02-04 00:00:00+00:00,-0.005040011951730761,0.0011048287389938682,-0.008097180411373639,-0.008369081105038867
2022-02-05 00:00:00+00:00,0.0015335388428665553,0.005295015455216268,0.003485833316984266,0.004618471613981212
2022-02-06 00:00:00+00:00,-0.01053302419164659,-0.008592396789007029,-0.005598611140027354,-0.007060548826198443
2022-02-07 00:00:00+00:00,0.0023677056244457706,0.0032853661316210037,-0.0038038503308930327,-0.0039049223385789755
2022-02-08 00:00:00+00:00,0.011160304248120534,0.012757620840695871,0.012145205354643585,0.013569596103983672
2022-02-09 00:00:00+00:00,-0.008009853285635415,-0.003493708782941529,-0.002472118441028237,-0.00409090227012221
2022-02-10 00:00:00+00:00,0.002103984193907671,0.0005843946456407512,0.0076308555005359935,0.009053289205716908
2022-02-11 00:00:00+00:00,-0.0024371911180736117,-0.0013157208284506616,0.00013209825309012935,0.0011980353456928494
2022-02-12 00:00:00+00:00,0.0033156612403300034,0.0034683341077050844,0.003977032546897297,0.0016696645483875727
2022-02-13 00:00:00+00:00,0.011593612656194185,0.007470186915738308,0.008328437795732224,0.010547350906661812
2022-02-14 00:00:00+00:00,-0.005317182810059884,-0.0063010528464633175,-0.0039928785870765315,-0.005281649520636256
2022-02-15 00:00:00+00:00,-0.005474924676312165,-0.0010305246514749067,0.0014141365642814652,-0.0008044877564205022
2022-02-16 00:00:00+00:00,0.002173201809735348,0.00043136540141164303,8.891829598001166e-05,0.00011155863328671245
2022-02-17 00:00:00+00:00,0.0020474256450910833,-0.0022130764771279843,0.0016775339968277958,0.0020760148246325993
2022-02-18 00:00:00+00:00,-0.0015592325725486411,-0.001465663001645745,-0.0012775244910052663,-0.0010280143901113536
2022-02-19 00:00:00+00:00,-0.0046076535924755024,-0.00522362793386788,-0.005079197853964157,-0.005302204756717943
2022-02-20 00:00:00+00:00,-0.0006469085199928282,0.0006559270846482335,3.6829110632963236e-05,-0.0004512069291202625
2022-02-21 00:00:00+00:00,4.3919594978403254e-05,-0.0013417332014978856,-0.005052910587468151,-0.001048810527022992
2022-02-22 00:00:00+00:00,2.2254459233428392e-05,-0.002996446225079108,-0.002094442333108737,-0.002862233119483082
2022-02-23 00:00:00+00:00,-0.006427356957700137,-0.004453163528273185,-0.0015854088907959474,0.0015163742178323503
2022-02-24 00:00:00+00:00,-0.005500916275247292,-0.003679264273210303,-0.0017632779561208567,-0.0011941404085044072
2022-02-25 00:00:00+00:00,-0.022261502088689378,-0.02572422882196357,-0.01991816419569603,-0.02358010384775633
2022-02-26 00:00:00+00:00,-0.0008861690982635562,-0.001764011269486332,-0.00019184316904075072,-0.0014371036912457225
