firm,base,cppi,pass_,fail_daily,fail_total,timeout,med,p75,p90,surv_all,paid_all,surv_keep,paid_keep
Mubite 8%+5% static,1.5,0.0,0.661,0.0,0.339,0.0,106.79166666666667,167.125,244.375,0.2816666666666667,0.16648310239825354,0.5883333333333334,0.17587583116131952
Mubite 8%+5% static,1.5,0.5,0.745,0.0,0.0,0.255,122.375,220.20833333333334,358.83333333333337,1.0,0.17050322197492587,1.0,0.1804771248973189
Mubite 8%+5% static,2.0,0.0,0.561,0.0,0.439,0.0,62.833333333333336,101.08333333333333,146.75,0.14333333333333334,0.17777775430179554,0.4116666666666667,0.21096228034873207
Mubite 8%+5% static,2.0,0.5,0.636,0.0,0.02,0.344,73.97916666666666,128.9375,228.29166666666666,1.0,0.18843395022390352,1.0,0.2148348589625657
Mubite 10%+5% static,0.75,0.0,0.82,0.0,0.167,0.013,388.52083333333337,549.8020833333334,724.5166666666667,0.7916666666666666,0.10197054722167144,0.91,0.09342741212657024
Mubite 10%+5% static,0.75,0.5,0.875,0.0,0.0,0.125,405.3333333333333,622.125,829.4916666666668,1.0,0.10003372204394924,1.0,0.09235359106833263
Mubite 10%+5% static,1.0,0.0,0.75,0.0,0.25,0.0,243.75,369.54166666666663,511.4000000000001,0.6266666666666667,0.13331247483463546,0.8266666666666667,0.1274766246039896
Mubite 10%+5% static,1.0,0.5,0.853,0.0,0.0,0.147,282.75,441.875,674.3083333333335,1.0,0.13020418720797078,1.0,0.12579605891018705
Mubite 10%+5% static,1.5,0.0,0.632,0.0,0.368,0.0,127.47916666666667,196.30208333333331,284.45,0.2816666666666667,0.16648310239825354,0.5883333333333334,0.17587583116131952
Mubite 10%+5% static,1.5,0.5,0.727,0.0,0.0,0.273,150.45833333333334,254.22916666666669,403.6333333333333,1.0,0.17050322197492587,1.0,0.1804771248973189
Mubite 10%+5% static,2.0,0.0,0.562,0.0,0.438,0.0,78.60416666666666,126.38541666666667,173.30833333333337,0.14333333333333334,0.17777775430179554,0.4116666666666667,0.21096228034873207
Mubite 10%+5% static,2.0,0.5,0.623,0.0,0.017,0.36,90.70833333333333,148.5625,261.6250000000001,1.0,0.18843395022390352,1.0,0.2148348589625657
Hyro 1-step trailing,0.75,0.0,0.532,0.0,0.468,0.0,157.45833333333334,216.71875,289.39583333333337,0.02,0.04512227794093685,0.04833333333333333,0.03206812472787124
Hyro 1-step trailing,0.75,0.5,0.686,0.0,0.0,0.314,195.1875,362.625,617.9375,0.84,0.05051432533356044,0.8916666666666667,0.05032110175791801
Hyro 1-step trailing,1.0,0.0,0.468,0.0,0.532,0.0,95.89583333333334,139.47916666666666,179.27500000000003,0.0,0.03870841082831991,0.0,0.02523290020902828
Hyro 1-step trailing,1.0,0.5,0.597,0.0,0.0,0.403,131.66666666666666,219.16666666666666,398.24166666666656,0.7066666666666667,0.044321930766877154,0.7833333333333333,0.04355523447923128
Hyro 1-step trailing,1.5,0.0,0.352,0.012,0.636,0.0,50.16666666666667,73.41666666666667,92.51666666666668,0.0,0.03793862003096261,0.0,0.021870030470807447
Hyro 1-step trailing,1.5,0.5,0.433,0.002,0.117,0.448,66.70833333333333,117.45833333333333,177.63333333333335,0.5183333333333333,0.040279832459391776,0.695,0.032374240409047635
Hyro 1-step trailing,2.0,0.0,0.276,0.106,0.618,0.0,32.875,48.958333333333336,67.375,0.0,0.030724031884153367,0.0,0.017663442323498466
Hyro 1-step trailing,2.0,0.5,0.319,0.083,0.546,0.052,40.5,68.95833333333334,97.93333333333332,0.385,0.03840317068559023,0.49333333333333335,0.02556295366481745
