,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
APRUSDT,-4.82984321898088,1.4808910861669968,1.3091315712941116,3256.1083727314717,1224.0,-40.78292555290752,35.95308233392667,0.0
APTUSDT,-141.9751846595438,2.3370708656028887,7.887131828213743,22329.27140759978,13584.0,-123.4775703875345,-18.4976142720091,0.0
ARBUSDT,6.7824959718023266,7.26030674865606,6.000206215948956,16949.57561557455,10800.0,-43.70266255266635,50.48515852446849,0.0
ARCUSDT,205.94009733568848,-2.6731909525119217,2.1891735810516773,5694.778035206953,3456.0,34.13113636156502,171.80896097412335,0.0
ARIAUSDT,102.09033342467389,5.1561018140306745,1.2605638615021224,3069.433973182458,912.0,72.35314228660373,29.737191138070294,0.0
ARKMUSDT,161.1344197398247,2.467767232247428,5.305067772645809,13992.506781424561,8064.0,-11.99688382944787,173.13130356927323,0.0
ARKUSDT,-122.9941662880321,1.8481528922239776,2.4351189880248683,6397.152830309984,3384.0,22.497016600562223,-145.49118288859458,0.0
ARMUSDT,2.2439992725629043,0.8379247044457816,0.5427462848987901,1338.7136818746512,840.0,0.0,2.2439992725629043,0.0
ARPAUSDT,15.78483364904908,1.1253415308463461,6.915371522182611,17749.50342311343,9648.0,-10.627274371049262,26.41210802009793,0.0
ARUSDT,278.2275593788165,2.349417037097591,9.635401480873387,25294.003179467698,15144.0,68.34736822539524,209.88019115342001,0.0
ARXUSDT,13.410868434391531,-0.18526086816008014,0.12327837683529988,307.95118196562805,216.0,0.0,13.410868434391531,0.0
ASMLUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASRUSDT,-130.17577049078517,-0.12803971098043496,0.8913683822821955,2287.146278334508,1080.0,-50.15540534302001,-80.0203651477655,0.0
ASTERUSDT,-31.14932809634769,1.5276993184432568,1.2635944235140357,3618.4286235054296,3024.0,0.0023827003424730375,-31.151710796690143,0.0
ASTRUSDT,24.488255939717376,0.8764924336654515,3.0818836218005288,7956.689181169357,3384.0,30.974568131666675,-6.486312191949265,0.0
ASTSUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAUSDT,34.136880552876086,0.33863284756699347,5.712646828668706,14449.05963102097,7944.0,17.19983862419867,16.93704192867762,0.0
ATHUSDT,15.55654327363727,-1.5532312182135872,0.4895406922556495,1298.9119042209281,504.0,20.645323088936344,-5.088779815299059,0.0
ATOMUSDT,12.894926472239947,4.469817353411098,9.432809517235789,26189.44376524189,21600.0,-76.87972027806525,89.7746467503051,0.0
ATUSDT,-126.2596372430077,-1.1996795220302692,0.641136312293847,1612.246831207792,1080.0,0.0,-126.2596372430077,0.0
AUCTIONUSDT,95.82907483400807,-5.897568872686119,2.7291428322782503,7190.2196830472185,3240.0,-9.862917621481914,105.69199245548974,0.0
AUDIOUSDT,12.130283454265868,-5.171840842971743,6.249199341234566,16351.662610063258,8376.0,-47.320682166407444,59.45096562067313,0.0
