label,cost,sharpe,sel,conf,cagr,mdd,wd,turnover,costpct,npos
"F  (listing,core,ml3n,ml7n,ml8)",mk50,1.8761930302434613,1.8156107756705882,1.9980201847196197,0.23111149972859923,-0.08660483168622013,-0.03778164636311332,269.869971652835,0.13189878868180568,134.74647887323943
"F  (listing,core,ml3n,ml7n,ml8)",taker,1.2099046396973578,1.017559592840334,1.5419025205492718,0.139728866325044,-0.13452735969529928,-0.03752307668368615,269.16802521110225,0.20927743372762536,130.49471830985917
F14 (ml7n -> ml14n),x1.5,1.927023904636181,1.9255096024495877,1.9548227267382339,0.23676039762250434,-0.11624136983450484,-0.0377799798150974,271.44967140789436,0.1519684862031774,135.84096244131456
F14 (ml7n -> ml14n),x2,1.5150848874926173,1.447544316091231,1.6465646777513663,0.17990753325547182,-0.13756553041444586,-0.03830990269438517,270.846853530155,0.20216924844514558,133.4872848200313
F14 (ml7n -> ml14n),mk50,2.1100614678625695,2.1440177696828906,2.081569427997208,0.2625966812154157,-0.10806125757962148,-0.03723485754528533,270.3626137437838,0.1321341904035411,136.92625195618155
F14 (ml7n -> ml14n),taker,1.4533407429334706,1.3668853509758367,1.6148867182498576,0.1714775259184267,-0.13786149735499775,-0.03893708889453551,270.64976769805367,0.2104046475889776,132.97496087636932
F14+A1+A2,x1.5,1.8990459351674733,1.9635921515431596,1.8069182906365742,0.23513612859505773,-0.12025823116446965,-0.03073345268909644,272.06207166053144,0.15236339410447763,140.55105633802816
F14+A1+A2,x2,1.4368912943982068,1.3197539921445054,1.647385286829353,0.17106394483945708,-0.12270333162736768,-0.030973008529388113,270.8560153397057,0.20226360878544788,136.77836463223787
F14+A1+A2,mk50,2.028258357683661,2.098605426856905,1.9284881041711792,0.25366491009649006,-0.11787017552876988,-0.030648185162021724,272.18700049504133,0.13307610516134163,141.35211267605635
F14+A1+A2,taker,1.4110854247110127,1.2666869478323817,1.6676812938028513,0.16749212995479912,-0.1221752677411333,-0.03114112543603864,270.17041096827853,0.21019125135880085,136.51486697965572
F+A1+A2,x1.5,2.062425671757317,2.049095186001568,2.1008298422052905,0.26046675053220225,-0.09019385107445532,-0.02829012370640549,269.60535129063203,0.15099306946205446,141.54010172143975
F+A1+A2,x2,1.5896184343247652,1.4806418674110813,1.7896079287850586,0.19192099158932074,-0.10534824924239672,-0.024544489963458482,269.1040589591263,0.20095166577903084,138.072965571205
F+A1+A2,mk50,2.2524258698827873,2.306151774065944,2.178116356718708,0.2888980623402637,-0.08918933433529619,-0.028225891570921702,270.16859484452976,0.13210926234528672,142.7953834115806
F+A1+A2,taker,1.5283037785434423,1.4472892642166295,1.681245374624005,0.18384564128562175,-0.10422587870070377,-0.025358999833855145,268.7198117318448,0.20903154489692988,137.5856807511737
F14+A1+A2 ml8 w1,x1,1.9706465888458213,1.960615405918012,1.9903103256042445,0.2510673121465403,-0.09003360732777788,-0.030901090230562533,226.43569325579443,0.08474478992897036,140.6631455399061
F14 ml8 w1,x1,2.0490656015113036,1.830648904479405,2.4138569800505376,0.2568422374225683,-0.09025328779047903,-0.036173086997858706,210.13312734913296,0.07873413353444901,135.31377151799688
F14+A1+A2 band .4,x1,2.2895939634039757,2.359910677196483,2.182747114887982,0.3004019294731075,-0.11420703717478708,-0.03169047794702862,292.14499883193395,0.10896226725071768,142.7318075117371
F14+A1+A2 smooth .6,x1,2.346463521282613,2.4786663657987287,2.138746605149221,0.30441732174541936,-0.09713930971865437,-0.030571130723810347,225.94932779285557,0.08448634390177254,147.1349765258216
