label,sharpe,cagr,mdd,worst_day,turnover,n_stops,y2022,y2023,y2024,y2025,y2026
R5 J1 capY0.5% w8=1.5 band0.2,0.9079052357187093,0.11122616809405872,-0.1526262693265431,-0.0539131762456585,233.8858520683093,0,2.1813748856983675,0.9065285618671786,0.8453636924455973,1.226742311292805,-0.620810884993975
R5 J1 capY0.5% w8=1.5 band0.4,0.8665500644209415,0.10492990843372652,-0.18458454172261995,-0.05808813566182236,213.93916760421712,0,1.9861729506842971,1.3283279026828674,0.5173634007058654,1.5289586556628274,-1.0030443075990338
R5 J1 capY0.5% w8=1.5 age120,0.943230846521194,0.11555487253736585,-0.15129475550487348,-0.05296791339979723,219.075865555463,0,2.3909962649088947,1.001717301554127,0.7085717122045687,1.1784148207868894,-0.61291495443739
R5 J1 capY0.5% w8=1.5 q8=0.35,0.87469110265727,0.10513374500455042,-0.1576227941066547,-0.04962059891681503,223.8442359057283,0,2.0179450991330414,0.811030285093488,0.9629478454882231,1.2219514794452606,-0.6621844494153166
R5 J1 capY0.5% w8=1.5 smooth0.4,1.3877353609173702,0.17751307008850747,-0.17051519469738685,-0.048571447088815556,260.152782342829,0,2.1608087563673553,1.2581607741562197,0.7736551612089336,1.7403719689566266,0.9885356258683081
R5 J1 capY0.5% w8=1.5 smooth0.6,0.940915870410089,0.11498657185371064,-0.16016186282945122,-0.056922169619612606,189.0009563705043,0,2.6122519304275458,0.9187025225730193,0.7628303538306075,1.1735229350962482,-0.6444875188870895
R5 J1 capY0.5% w8=2.0 base,1.207985819292761,0.15479764749052016,-0.14949656627557228,-0.057072784929851794,245.76873488029685,0,2.1421170343143663,1.2957239904083346,0.609752548330311,2.640848641300111,-0.7307651983766261
R5 J1 capY0.5% w8=2.0 band0.2,0.8677177355850126,0.1070621469093842,-0.141567286844822,-0.05551357266498158,257.3118896651832,0,2.040826289311123,1.1175617145294054,0.494095406515622,1.3141382425181842,-0.6326014675594238
R5 J1 capY0.5% w8=2.0 band0.4,1.196615530856979,0.15514510907040346,-0.13913589844943985,-0.05663313631052114,238.07600378174416,0,1.9727706696384208,1.4563432241021252,0.8526591874406096,1.9742028650998489,-0.2018496083198618
R5 J1 capY0.5% w8=2.0 age120,0.8384542261341092,0.10371191058097895,-0.15071681877496423,-0.054144913017976415,244.21403416385886,0,2.2467007243034494,1.1803387900974471,0.5331319579690604,0.9966624436251919,-0.7663789753901352
