,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
AI16ZUSDT,94.35231848342018,3.0032945240625333,1.3317102651218542,3650.002677901302,4056.0,-56.15203714260524,150.5043556260252,0.0
AIAUSDT,441.0587650325136,5.694864232469429,1.6759747238067564,4245.267417998752,1992.0,-19.71560487991503,460.77436991242865,0.0
AIGENSYNUSDT,125.2882617879158,-16.426410802493717,0.49786165541865046,1284.0589244372877,936.0,0.0,125.2882617879158,0.0
AINUSDT,44.069579669209986,1.9324055835821343,0.4922730294998165,1189.4225479889697,624.0,0.0,44.069579669209986,0.0
AIOTUSDT,410.16531801003924,4.018547974514048,1.8148191066651298,4755.5464756384345,1488.0,458.1977841678143,-48.03246615777522,0.0
AIOUSDT,160.13162221149113,3.290287168580179,1.757389702747408,4285.23025718647,1176.0,-1.9603358182252253,162.09195802971638,0.0
AIUSDT,52.324573129340294,6.894375606582683,2.3202132227522076,6096.00205147903,3672.0,8.830844396600542,43.49372873273985,0.0
AIXBTUSDT,-132.69630841988837,0.8361789676088569,2.6642789734223804,7024.293715301855,4128.0,-96.43794878858495,-36.25835963130362,0.0
AKEUSDT,62.34341754700265,-0.4490587233048501,1.4344444620150492,3704.3230125568675,1320.0,12.17626476800456,50.167152778998165,0.0
AKROUSDT,-29.58153175534112,0.17139283771984795,1.7334363937739867,4380.294302267753,2160.0,-56.239113826046044,26.657582070704944,0.0
AKTUSDT,16.630819992023163,-9.02452551949606,0.9234302618061514,2311.1605875102387,624.0,0.0,16.630819992023163,0.0
ALABUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCHUSDT,146.61410617889553,4.839981643955773,2.5445763767631426,6636.338521955293,2520.0,160.3935107829838,-13.77940460408788,0.0
ALGOUSDT,61.91246253220504,2.1246287266250574,10.921760250354385,29206.96318190318,19368.0,-22.962719343927777,84.87518187613375,0.0
ALICEUSDT,-58.39378782310861,-11.056206911650788,8.822932620353578,22899.935888384593,11304.0,-65.45565437291944,7.0618665498108,0.0
ALLOUSDT,84.83457638219535,-2.039946636921073,1.63403218331849,4311.108650658699,1680.0,116.67748325698808,-31.842906874792707,0.0
ALLUSDT,14.135385258927071,-0.7506088849168632,0.1653631066061009,429.4260117204403,120.0,0.0,14.135385258927071,0.0
ALPACAUSDT,50.46149578908644,0.8244520568657491,0.677124147584236,1724.995058536452,648.0,0.0,50.46149578908644,0.0
ALPHAUSDT,-56.93232390083604,-0.2481754182820768,7.909151024643006,20464.400309556062,10848.0,-109.14232878457759,52.21000488374142,0.0
ALPINEUSDT,-52.12430998236669,-5.748994642844415,0.7627856566258623,2030.8830980230352,552.0,-3.8277472105184693,-48.296562771848265,0.0
ALTUSDT,47.17592035735898,5.046267039606974,2.674148789402802,7082.119240807481,4344.0,-28.335724696746265,75.51164505410539,0.0
AMATUSDT,2.5046022281136255,0.0,0.15501455754716217,360.8744888071754,96.0,2.5046022281136255,0.0,0.0
AMBUSDT,36.24359705537817,6.401097387598417,3.053553810635224,7936.0878845053085,3840.0,12.721440665130036,23.52215639024834,0.0
AMDUSDT,8.938050293208898,1.0963370298903286,1.2292405488160987,3146.6694263135105,1200.0,0.1625501018919861,8.775500191316914,0.0
AMZNUSDT,10.527805630585451,1.151163537716948,0.8003925083307252,1891.1876675168983,648.0,10.527805630585451,0.0,0.0
ANCUSDT,106.73312926322005,-0.6351082081335536,0.24557680343010357,671.844317374497,840.0,-12.67177881304546,119.40490807626547,0.0
ANIMEUSDT,43.782237831527034,-7.982575993306425,1.7288338850380294,4458.720740503451,2088.0,-0.914374738404263,44.69661256993127,0.0
ANKRUSDT,22.67838574803727,3.6012758896706627,7.740497628460673,20076.895725833496,11712.0,9.882073254009313,12.796312494028228,0.0
ANTHROPICUSDT,8.444191565710558,-0.11852335807081688,0.30029164157135485,743.3817065671005,168.0,8.444191565710558,0.0,0.0
ANTUSDT,10.84965900921937,3.131081024641516,5.467579483852853,13846.206711331732,9720.0,-5.981163122727137,16.830822131946395,0.0
APEUSDT,77.32758003603134,-0.8067425070526378,9.815119531383187,27178.67259339348,16488.0,-112.78103855727194,190.108618593304,0.0
API3USDT,52.52968890982119,-13.285098164888081,7.568232074105483,19428.22353200665,10152.0,-21.606626459128027,74.13631536894921,0.0
APPUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APRUSDT,27.28748155482326,0.8172531235201982,2.085341117364567,5274.907762034178,1560.0,-16.49127743851715,43.77875899334045,0.0
APTUSDT,-205.91216770109497,-1.133774774706154,9.206391681796442,25950.142099224428,14328.0,-119.86228866571022,-86.04987903538539,0.0
ARBUSDT,126.00206428589328,7.9832188389016405,6.545498033293945,18533.033317650446,10800.0,97.77585828145374,28.22620600443944,0.0
ARCUSDT,-179.8308895961127,1.2444208746908805,3.313525431670418,8779.612903849886,4200.0,-148.76740608172346,-31.063483514388736,0.0
ARIAUSDT,212.7477030538891,14.005718121893972,1.0029271248897575,2568.83471990517,1056.0,14.523624063138438,198.22407899075074,0.0
ARKMUSDT,281.67842153063714,0.07718460137256396,5.04861718206464,13325.38715214828,7920.0,71.99516360155701,209.6832579290813,0.0
ARKUSDT,-91.14965472286205,1.6345786725328817,2.4463342166453668,6486.512993873543,3432.0,33.12150895901045,-124.27116368187242,0.0
ARMUSDT,68.92045083428157,1.3434186090875115,1.0868350872311974,2672.5426758463764,1128.0,0.0,68.92045083428157,0.0
ARPAUSDT,154.61022632128234,-13.23246894339901,7.715805814506129,19809.163348234695,9984.0,27.94087776359295,126.66934855768926,0.0
ARUSDT,305.26061215114987,0.2656167846626789,11.390493619765776,29762.107917557354,16272.0,123.99079325974661,181.2698188914024,0.0
ARXUSDT,81.55006492972194,-0.33460214464488297,0.2380691469580526,640.1080202099573,360.0,0.0,81.55006492972194,0.0
ASMLUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
