label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost
"K13 R4 no listing + beta0, ml8 q.2, band .4 | cost x2.0",1.1396491796329429,0.924835231397226,1.5403086492440208,0.14774532242131144,-0.20001927754274984,-0.046028796075374245,340.43953048987146,0.25218740541794804
"K13 R4 no listing + beta0, ml8 q.2, band .4 | cost maker50",1.8583670130770542,1.808856243001941,1.9705627652591564,0.258267464121249,-0.10897205775688801,-0.04675894935754954,340.58610133647227,0.16484691910091548
"R3  core+ml3 + ml8 q.3 w2, band .3 | cost x1.0",2.092963373499622,1.7282225293699625,2.732996187987047,0.29290707454798315,-0.1522656940434024,-0.044339677641701325,440.04884108415666,0.16328730383757073
"R3  core+ml3 + ml8 q.3 w2, band .3 | cost x1.5",1.4088245315628607,0.9166895858699032,2.2643527338906106,0.18551070863936392,-0.1919076325934077,-0.045522927654690015,440.37493912201586,0.24510423534601003
"R3  core+ml3 + ml8 q.3 w2, band .3 | cost x2.0",0.7961799340204746,0.1558247149179104,1.9012550829648476,0.09718799214858365,-0.243528517185174,-0.045471542919564345,438.9466610109266,0.32575706973325247
"R3  core+ml3 + ml8 q.3 w2, band .3 | cost maker50",1.6839407646990194,1.2546976187744274,2.4336108193045645,0.22775771763396313,-0.17463114636832666,-0.044780250770856456,440.126012420849,0.2135092959204245
"R3' core+ml3 + ml8 q.2 w2, band .4 | cost x1.0",2.3625062325346495,2.1678483245578133,2.7103151560050427,0.3419866660688271,-0.16124348491406781,-0.04579302274968089,416.1854389019663,0.15421715759381124
"R3' core+ml3 + ml8 q.2 w2, band .4 | cost x1.5",1.731763699002734,1.411123844709897,2.2914683731598267,0.23747550820446905,-0.20858475087145978,-0.045769747093374336,416.0445474292587,0.23125599717116768
"R3' core+ml3 + ml8 q.2 w2, band .4 | cost x2.0",1.1324286869460498,0.6633965667576971,1.9409498482426057,0.14624412875938275,-0.2584041423125226,-0.04578733910555666,415.63176301120234,0.30804074200190656
"R3' core+ml3 + ml8 q.2 w2, band .4 | cost maker50",1.9654484340287626,1.6698359062538635,2.4815673658288926,0.27517797383762965,-0.191569716452356,-0.04562080638456223,416.27080602359155,0.20158058550391392
"R3b core+ml3 + ml8 q.2 w2 + beta0, band .4 | cost x1.0",2.326949990372857,2.1965734476722436,2.565787108384392,0.3337847428988807,-0.1438348844579167,-0.04633934652602123,389.1411993661737,0.14384874277959414
"R3b core+ml3 + ml8 q.2 w2 + beta0, band .4 | cost x1.5",1.758419537643131,1.5254960164118943,2.1709699772801003,0.24064923068668254,-0.1823299694170779,-0.04662354894117737,388.57731911669964,0.2154828490288797
"R3b core+ml3 + ml8 q.2 w2 + beta0, band .4 | cost x2.0",1.2313863638594673,0.8771354833322008,1.8503814346413259,0.15987597617418947,-0.22411824641323652,-0.046673317039667594,389.359795129508,0.2878578785381316
"R3b core+ml3 + ml8 q.2 w2 + beta0, band .4 | cost maker50",2.0203562712703977,1.827807507068147,2.3641864705963926,0.2826637223006694,-0.1673148560079668,-0.04645462936650324,389.3008646372842,0.18794158575751377
"R4w3 no listing, ml8 q.3 w3, band .3 | cost x1.0",2.036918993020143,1.9378482141667976,2.2382912795735397,0.2836953952414656,-0.10034943804832697,-0.03651920143264864,441.05481238562703,0.1636488257577367
"R4w3 no listing, ml8 q.3 w3, band .3 | cost x1.5",1.3839420928371955,1.125909546961086,1.8528911387987865,0.18245418319920903,-0.15341338093077173,-0.03685672947040164,440.79553346654956,0.2453361339450338
"R4w3 no listing, ml8 q.3 w3, band .3 | cost x2.0",0.733082925517183,0.364685154227992,1.3908418510836167,0.08853458439129791,-0.2520327184745702,-0.03738294858582514,439.82450354739683,0.32640488511635046
"R4w3 no listing, ml8 q.3 w3, band .3 | cost maker50",1.624935841823262,1.4208055690429322,2.00389699944218,0.21908912766300737,-0.13234645522290855,-0.03672118898490562,440.68207830394334,0.21376086187602147
"R4w3' no listing, ml8 q.2 w3, band .4 | cost x1.0",2.097091408649613,2.0700310388478504,2.173776569868124,0.29588187821778544,-0.11062054084206796,-0.03350172753136749,405.978828033533,0.15046779447006778
"R4w3' no listing, ml8 q.2 w3, band .4 | cost x1.5",1.510140104762165,1.3575488829061837,1.8020438205957678,0.2028342211857468,-0.1576371158892549,-0.03394376855862957,405.1210755596201,0.22521903609926663
"R4w3' no listing, ml8 q.2 w3, band .4 | cost x2.0",0.9057278966208907,0.6370703652972846,1.3951940985731857,0.11339108689617872,-0.23722990666588517,-0.03339901940316692,405.3774127659989,0.3004766663044114
"R4w3' no listing, ml8 q.2 w3, band .4 | cost maker50",1.7360891329372297,1.6327647245101604,1.9435086117454805,0.23774098194513593,-0.13942988855544047,-0.03339730363456206,405.0004372756598,0.19617587180227014
