,F,F2,F2_nofund,F2d,F14,F14A,F14A5,FA1,FA2,K13,K14,R3b,D2,D
2022-01-12 00:00:00+00:00,0.00024253042052291285,-0.0011699691513517019,-0.0012847034570903082,-0.0031458137058716362,-0.0008346164131066702,-0.004158836404879351,-0.003157992651702024,-0.0021615160318668725,-0.002292438399015717,0.0026966093684250847,0.000689138096481301,0.0007676741151536604,-0.01036020061847509,-0.010394997254434046
2022-01-13 00:00:00+00:00,0.009699069247272929,0.010751286459419696,0.010484885037040037,0.011407220379282101,0.010541610149733538,0.010238646642301674,0.011050939243071545,0.011037395342012424,0.01371329742659233,0.011969170505028659,0.014537997526486102,0.01334862815079485,0.013118451788945773,0.013509762607447628
2022-01-14 00:00:00+00:00,-0.001096832198752784,-0.004743478678795321,-0.00508001149132653,-0.0035916124172968855,-0.0008895574946917728,-0.0026254073177841564,-0.0034201821843663494,-0.005179717453147603,-0.005551271289355619,-0.0023066424352481407,-0.00305667608887894,-0.0014868877894859134,0.0012417557629849085,5.2427192332560324e-05
2022-01-15 00:00:00+00:00,-0.00031503384921816036,-0.004105499657862888,-0.004289632471216387,-0.0029949711428429726,-0.0005389775409849751,-0.0032478745221963257,-0.0013340473052450008,-0.00217269957431121,-0.0018004923917821491,-0.0025294612476339795,-0.0031692136762742074,-0.003556439044421378,-0.0034350921528644163,-0.0034316942261881644
2022-01-16 00:00:00+00:00,0.0026655321771471563,0.0020147948545359284,0.0018198875043202722,0.002383618464568471,0.005029710519959707,0.001679890091042413,0.0037284217157680377,0.0017682226510371546,0.0038094529350496398,0.004771792502975547,0.00498830795546068,0.00261102666055657,0.0017204060731133008,0.0022716431670941617
2022-01-17 00:00:00+00:00,-0.0017521297841400774,-0.00017519218605521747,-0.00032910150118115045,0.000302583760541264,-0.0033525140839286705,-0.002998509729884802,-0.00317213041876907,-0.0013328340564972008,-0.0014004578630956166,-0.003711686815379589,-0.0050409684539435284,-0.00819100842968401,0.0026634901397786237,0.006743127062742715
2022-01-18 00:00:00+00:00,0.003071606106114011,0.0023734750634623047,0.0023132841650026492,0.00320761577336115,0.0035673387530021916,0.002366014045443121,0.0019071993969999035,0.0008493139261804838,0.0033546309392127327,0.0006789223208640838,0.00026916181366032355,7.3564643900958515e-06,-0.0002504822211438773,-0.0037308422811891395
2022-01-19 00:00:00+00:00,0.0034439893030120405,0.0034281267166145213,0.00296891324129267,0.0032530583209604558,0.0026112421334925084,0.002295372485526581,0.001556081833041123,0.003344594685033453,0.0037902068971624736,0.0015829558288666945,0.002356684823706212,0.0008433736059307861,0.003747805979180008,0.002671929904425996
2022-01-20 00:00:00+00:00,0.002043550534121641,0.007098903219061592,0.007021851405884183,0.009060249472299331,0.002463761950904031,0.008434042405385922,0.002306487775627586,0.008665334304048367,0.004989138436418017,0.0029931867649868327,0.005409058145752432,0.003553268938695675,0.006015811128494031,0.004470953954272883
2022-01-21 00:00:00+00:00,0.010055132162544611,0.00752386503352831,0.006550503638779626,0.012174656373305837,0.012107045059443822,0.011598146846281354,0.01126604951576482,0.010345695238693109,0.004455001056464347,0.013515758295675973,0.00903737953141559,0.012706661128430108,0.013307401095969729,0.014960670214517746
