symbol,date,turnover_usd,n_trades,med_trade_usd,vwap,eff_spread_med_bps,eff_spread_p75_bps,cross_spread_med_bps,n_pairs,tick_bps,roll_bps,hourly_turnover_med,hourly_turnover_min
STORJUSDT,2026-05-20,1950855.142305,39138,26.803837,0.11334914522994895,0.8964589870022412,2.6664296506979155,0.8915834522120186,2509,0.8822298553473288,4.77732623898936,79380.3789525,29016.083529
LRCUSDT,2026-08-12,147887.8629655,4276,14.1,0.009340805607807059,10.515247108308442,10.700912640704036,10.60445387062707,447,1.07057147101259,17.14163013086623,3028.026126,1020.649061
LRCUSDT,2026-05-20,364079.968413,8796,20.139153,0.016719332250026923,5.984440454817231,11.811605674033371,6.049606775559342,706,5.981100112406398,11.184671631367468,11295.2719105,2087.590023
ONTUSDT,2026-08-12,524986.69774,8512,31.939995000000003,0.0367095891470559,2.7137042062414087,5.397018810406429,2.839724238303205,558,2.724083878993268,1.7192319714915625,16356.847305,1253.34474
ONTUSDT,2026-05-20,4155946.7793600005,62364,33.01753,0.060165864172606214,1.6866250632477862,3.3709758975221953,3.208985179097068,3856,1.662072029964986,3.5862708593077217,120869.82383000001,56541.57836
ZRXUSDT,2026-08-12,225865.18641000002,4329,19.98472,0.07985326033240905,6.26645031561841,11.247192949045449,6.933034303231891,136,1.2522970206061264,8.802163319043935,7277.751105,857.88384
ZRXUSDT,2026-05-20,213568.20929000003,2803,31.6923,0.10535933041973396,4.823228949785404,8.64554174746522,5.615423430080087,70,0.9491328352370688,0.0,7848.0167,1813.63036
BANDUSDT,2026-08-12,254986.6907,5103,17.785500000000003,0.16386707585018837,11.621154417524576,17.556694617145727,12.410808146542617,476,6.102507137639512,13.84951156486393,1525.99834,600.14383
BANDUSDT,2026-05-20,49465.01269,2340,6.5228649999999995,0.20380445609171835,4.9566663292613535,9.829217793818822,9.779953438813639,44,4.9066640601315346,2.6394670227959005,1186.840135,153.73396
KNCUSDT,2026-08-12,110305.69329200001,2703,19.472335,0.1013383163475624,3.9064408280081158,5.893193785008462,3.970855845673384,92,0.9867935801991115,5.113914363267623,2661.9217805,678.062994
KNCUSDT,2026-05-20,261562.942395,5375,15.28644,0.142913498089791,3.5612537238496755,5.578703915857051,4.250499496171896,264,0.6997239682496158,3.9293103857689884,7671.8070635,1836.05153
RLCUSDT,2026-08-12,72539.52459000002,2530,9.255125,0.26831440777177373,3.690036900368597,3.7864445285872392,3.7864445285872392,51,3.72697093795456,0.0,2463.3922350000003,687.82239
RLCUSDT,2026-05-20,87803.29475999999,3214,16.494335,0.4209943376947924,0.0,5.955157349078691,7.092198581559503,51,2.3753288594699775,6.023173496964424,1615.018715,71.52702
RVNUSDT,2026-08-12,1685028.342975,36335,16.92224,0.0027029057300198118,3.818980471496827,7.590132827323839,7.155635062611205,1808,3.6997220764794085,8.708871331131476,62816.6083055,10611.265965
RVNUSDT,2026-05-20,158084.323029,3977,7.790364,0.005457236945761077,1.833852924994068,3.6658571463131655,1.846551580693407,124,1.8324291393944658,1.0383608654173797,4030.9840405,1247.324647
ALICEUSDT,2026-08-12,133719.576024,2765,8.304056000000001,0.11758992995761579,4.3607186464336625,10.435690060006,6.464991868321544,101,0.8504129565856984,6.3924770400596715,2918.7180485,633.701579
ALICEUSDT,2026-05-20,371398.365195,14474,11.0934585,0.12958410235242238,2.3378143176842636,4.640640663497703,3.112113903369816,752,0.7716996003711802,0.0,12803.809077,5513.573231
CVCUSDT,2026-08-12,135782.81161,2278,29.85877,0.01770991370867365,5.589714924538621,5.760368663594234,5.672151569670392,133,5.646554898289521,7.327223452865668,4234.42192,941.06049
CVCUSDT,2026-05-20,118524.71983999999,3924,7.970034999999999,0.029466806745273178,3.3875338753386153,3.425244149103278,3.402518257132531,163,3.3936490256460212,0.0,3293.4409050000004,761.5713
ARPAUSDT,2026-08-12,84602.96775,1988,9.276585,0.008702173692791129,3.4782608695666846,5.698655117392063,3.4059945504081868,85,1.1491381754740935,2.6899712147580312,3009.1209150000004,695.6213
ARPAUSDT,2026-05-20,173451.26681,4659,11.75741,0.011617205448560167,3.4819499780670267,7.760645029976035,6.090133982947678,150,0.8607922141234104,2.6070061291970537,6349.659575,1581.70671
JASMYUSDT,2026-08-12,1408907.1851299999,18508,19.915000000000003,0.004005879064921878,2.5000000000003317,4.9912652857506,2.5182573659031293,835,2.496330977028052,4.297775899471636,45486.997753,10171.353145000001
JASMYUSDT,2026-05-20,2615007.387049,29493,23.961584,0.005626197938781188,1.780468277263184,3.546728143288288,1.7956545160713462,1492,1.7773992505779082,0.0,85323.2565545,15994.552776
ACHUSDT,2026-08-12,327812.41173,6507,19.3047,0.004203901936735338,4.778972520906565,9.23787528868483,7.057993274938685,317,2.3787424517705196,0.0,4702.7971099999995,1494.56328
ACHUSDT,2026-05-20,268353.20711,4999,25.074,0.006949131132305111,4.325573156894569,7.196833505117284,5.752085249807123,122,1.4390288238344888,1.8857024225154029,8073.56374,984.59031
IDUSDT,2026-08-12,3072607.03429,52238,30.06192,0.0295198244852251,3.5001750087502947,7.089684509039366,6.419515491935937,4840,3.387554016454671,0.0,47924.35239,10111.92981
IDUSDT,2026-05-20,479308.0926,4941,43.52022,0.02919711972505342,6.709158000670643,6.868131868131588,6.788866259334414,213,3.4249953742590598,5.503234620249057,16250.258585,2221.19723
ARKMUSDT,2026-08-12,342250.14945,7875,16.39602,0.0941530110106018,3.222171874084573,6.4002007585640115,4.233476319852775,378,1.0621009240872927,5.4543468326413755,10426.99211,4608.76065
ARKMUSDT,2026-05-20,774638.64587,14017,16.78784,0.12171023189623126,2.52642220545816,4.956658902288696,3.2597180343898926,700,0.8216236091397912,6.6180456591157055,21389.65885,3813.51509
