date,token,slug,gecko_id,category,unlock_type,unlock_amount,rate_duration_days,circ_supply,max_supply,pct_of_circ,ticker,source,usd_value
2021-01-26,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,199824395.2409998,,0.311393,CRV,6mv_observed,1323097.59
2021-01-26,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,283422452.4078315,,0.0966,UNI,6mv_observed,3777335.5
2021-01-26,Balancer,balancer,balancer,Uncategorized,cliff,145000.0,,72373802.32600455,96150704.0,0.200349,BAL,defillama,
2021-01-26,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,46059440.39522462,,0.089183,FIL,6mv_observed,911606.17
2021-01-26,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,46059440.39522462,,0.208093,FIL,6mv_observed,2127081.06
2021-01-26,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,46059440.39522462,,0.099092,FIL,6mv_observed,1012895.74
2021-01-27,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,46255588.30364395,,0.088805,FIL,6mv_observed,882632.08
2021-01-27,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,46255588.30364395,,0.207211,FIL,6mv_observed,2059474.86
2021-01-27,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,200486348.7721779,,0.310365,CRV,6mv_observed,1125150.81
2021-01-27,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,46255588.30364395,,0.098672,FIL,6mv_observed,980702.31
2021-01-27,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,287494981.8128749,,0.095231,UNI,6mv_observed,4059396.09
2021-01-27,Venus,venus,venus,farming,cliff,11759.543964528122,,16980568.148159333,30000000.0,0.069253,,defillama,
2021-01-28,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,202636960.0555966,,0.307071,CRV,6mv_observed,1290418.52
2021-01-28,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,46423457.15849778,,0.206462,FIL,6mv_observed,2097642.56
2021-01-28,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,46423457.15849778,,0.098315,FIL,6mv_observed,998877.41
2021-01-28,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,286015310.4659498,,0.095724,UNI,6mv_observed,3877307.75
2021-01-28,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,46423457.15849778,,0.088484,FIL,6mv_observed,898989.67
2021-01-28,Venus,venus,venus,farming,cliff,6158.198829539294,,16980568.148159333,30000000.0,0.036266,,defillama,
2021-01-29,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,46974031.84838752,,0.097163,FIL,6mv_observed,1015849.92
2021-01-29,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,46974031.84838752,,0.204042,FIL,6mv_observed,2133284.83
2021-01-29,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,46974031.84838752,,0.087446,FIL,6mv_observed,914264.93
2021-01-29,Celo,celo,celo,noncirculating,cliff,1291069.0,,605431909.9999999,1000000000.0,0.213248,CELO,defillama,
2021-01-29,Venus,venus,venus,farming,cliff,69402.2209942535,,16980568.148159333,30000000.0,0.408716,,defillama,
2021-01-29,Chainlink,chainlink,chainlink,insiders,cliff,1500000.0,,748009578.99,1000000000.0,0.200532,LINK,defillama,
2021-01-29,Stella,stella,alpha-finance,noncirculating,cliff,15279166.666666666,,984720833.3333334,1000000000.0,1.551624,,defillama,
2021-01-29,Stella,stella,alpha-finance,farming,cliff,50000000.0,,984720833.3333334,1000000000.0,5.077581,,defillama,
2021-01-29,Stella,stella,alpha-finance,privateSale,cliff,33325000.0,,984720833.3333334,1000000000.0,3.384208,,defillama,
2021-01-29,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,205293230.3277484,,0.303098,CRV,6mv_observed,1272662.51
2021-01-29,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,284924337.4922955,,0.09609,UNI,6mv_observed,4283442.94
2021-01-30,Celo,celo,celo,noncirculating,cliff,312500.0,,605431909.9999999,1000000000.0,0.051616,CELO,defillama,
2021-01-30,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,47127333.87525848,,0.096847,FIL,6mv_observed,1004107.02
2021-01-30,Celo,celo,celo,insiders,cliff,3228611.5,,605431909.9999999,1000000000.0,0.533274,CELO,defillama,
2021-01-30,Celo,celo,celo,staking,cliff,833333.0,,605431909.9999999,1000000000.0,0.137643,CELO,defillama,
2021-01-30,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,47127333.87525848,,0.203378,FIL,6mv_observed,2108624.73
2021-01-30,Celo,celo,celo,privateSale,cliff,2447418.01667381,,605431909.9999999,1000000000.0,0.404243,CELO,defillama,
2021-01-30,Venus,venus,venus,farming,cliff,15047.880559888694,,16980568.148159333,30000000.0,0.088618,,defillama,
2021-01-30,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,285029781.8705891,,0.096055,UNI,6mv_observed,5308699.98
2021-01-30,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,201733117.1882674,,0.308447,CRV,6mv_observed,1562594.13
2021-01-30,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,47127333.87525848,,0.087162,FIL,6mv_observed,903696.31
2021-01-30,Injective Orderbook,injective,injective-protocol,noncirculating,cliff,833333.3333333334,,99700000.0,99700000.0,0.835841,INJ,defillama,
2021-01-31,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,288465615.3197562,,0.094911,UNI,6mv_observed,4829236.72
2021-01-31,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,47356616.80109233,,0.202393,FIL,6mv_observed,2130441.93
2021-01-31,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,47356616.80109233,,0.096378,FIL,6mv_observed,1014496.16
2021-01-31,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,207276419.7141298,,0.300198,CRV,6mv_observed,1567760.42
2021-01-31,Tezos,tezos,tezos,noncirculating,cliff,1590222.75,,1138594451.8771806,1183192173.1759143,0.139665,,defillama,
2021-01-31,Tezos,tezos,tezos,insiders,cliff,1590222.75,,1138594451.8771806,1183192173.1759143,0.139665,,defillama,
2021-01-31,Venus,venus,venus,farming,cliff,11202.904330074336,,16980568.148159333,30000000.0,0.065975,,defillama,
2021-01-31,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,47356616.80109233,,0.08674,FIL,6mv_observed,913046.54
2021-01-31,Rarible,rarible,rarible,farming,cliff,75000.0,,25080293.766572803,25080293.766572803,0.29904,,defillama,
2021-02-01,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,47585947.08074441,,0.095913,FIL,6mv_observed,1029319.29
2021-02-01,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,206506049.2708268,,0.301317,CRV,6mv_observed,1570449.47
2021-02-01,Perpetual Protocol,perpetual-protocol,perpetual-protocol,staking,linear,274000.0,1124.0,149999997.00000072,150000000.0,0.182667,PERP,defillama,
2021-02-01,Perpetual Protocol,perpetual-protocol,perpetual-protocol,staking,cliff,21000000.0,,149999997.00000072,150000000.0,14.0,PERP,defillama,
2021-02-01,DFX Finance,dfx-finance,dfx-finance,noncirculating,linear,31940.0,1095.72625,96876877.32223292,100021195.98759302,0.03297,,defillama,
2021-02-01,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,47585947.08074441,,0.086322,FIL,6mv_observed,926387.36
2021-02-01,DFX Finance,dfx-finance,dfx-finance,farming,linear,163500.0,973.9788888888888,96876877.32223292,100021195.98759302,0.168771,,defillama,
